#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
56.0,Aug 306:42 PM,Gastonia,Charleston,9-4,"Benoit, D","Lebron, D",final|,56,56,0.0,0.0
56.0,Aug 306:37 PM,York,Long Island,2-1,"Vallimont, C","Sandberg, R",final|,55,56,0.364,0.636
56.0,Aug 306:35 PM,Lexington,S Maryland,1-5,"Thurman, A","Edwards, C",final|,57,56,0.0,
56.0,Aug 306:02 PM,High Point,Hagerstown,10-4,"Del Bonta-Smith, F","Noriega, B",final|,56,55,1.0,0.0
56.0,Sep  36:50 PM,Charleston,Lexington,5-6,"Armstrong, J","Lusk, L",final|,55,56,0.0,0.0
57.0,Sep  46:30 PM,Long Island,Gastonia,2-5,"Stem, C","Griffin, D",final|,57,57,0.636,0.0
57.0,Sep  47:47 PM,S Maryland,High Point,5-7,"Uelmen, E","Semple, S",final|,55,57,,1.0
57.0,Sep  46:48 PM,York,Lancaster,12-4,"Kickham, M","Bremer, N",final|,56,56,0.364,0.0
57.0,Sep  46:28 PM,Hagerstown,Staten Island,4-13,"Mack, A","Paulino, F",final|,57,57,0.0,0.0
57.0,Sep  46:47 PM,Charleston,Lexington,7-8,"Armstrong, J","Corona, R",final|,56,57,0.0,0.0
57.0,Aug 313:09 PM,Gastonia,Charleston,13-15,"Lusk, L","Blanton, B",final|,57,57,0.0,0.0
57.0,Aug 312:10 PM,Lexington,S Maryland,6-2,"Beggs, D","Overton, C",final|,58,57,0.0,
57.0,Aug 312:01 PM,High Point,Hagerstown,14-8,"Scolaro, J","Henriquez, J",final|,57,56,1.0,0.0
57.0,Aug 241:03 PM,Charleston,York,3-4,"Vallimont, C","Lebron, D",final|,57,56,0.0,0.364
57.0,Aug 315:09 PM,York,Long Island,2-4,"Hillman, J","Valverde, A",final|,57,57,0.364,0.636
58.0,Sep  96:37 PM,Lexington,Long Island,8-2,"Laio, N","Clenney, N",final|,59,58,0.0,0.636
58.0,Sep  96:38 PM,Gastonia,Charleston,13-3,"Westcott, Z","Hill, J",final|,58,58,0.0,0.0
58.0,Sep 126:52 PM,Lexington,Lancaster,7-6,"Loper, J","Gilliam, R",final|,60,57,0.0,0.0
