season,season_id,division,team,team_id,team_url
ALPB- 2015,29210,Liberty,Bridgeport Bluefish,3611,https://baseball.pointstreak.com/team_home.html?teamid=3611&seasonid=29210
ALPB- 2015,29210,Liberty,Camden Riversharks,3610,https://baseball.pointstreak.com/team_home.html?teamid=3610&seasonid=29210
ALPB- 2015,29210,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=29210
ALPB- 2015,29210,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=29210
Playoffs 2014,29054,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=29054
Playoffs 2014,29054,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=29054
Playoffs 2014,29054,Liberty,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=29054
Playoffs 2014,29054,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=29054
All Star Game 2014,28875,ASG 2014,Atlantic League All Stars,80168,https://baseball.pointstreak.com/team_home.html?teamid=80168&seasonid=28875
All Star Game 2014,28875,ASG 2014,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=28875
